graph_id,nodes_count,edges_count,selected_footway_length,total_length,highway_types,selected_footway_coords
48,13,12,0.0006261276196634195,0.0033792981701199964,{'footway': 12},"[(118.74193776, 32.09217062), (118.7413182, 32.09226107)]"
49,17,17,0.00011674939314888755,0.003655344132645108,"{'secondary': 6, 'footway': 8, 'tertiary': 3}","[(118.7752779, 32.01329579), (118.77521778, 32.01319571)]"
50,8,7,0.00023239951893915954,0.0015993421213236297,{'footway': 7},"[(118.83702222, 32.07175794), (118.83725262, 32.07178836)]"
51,8,7,2.2338319100470353e-05,0.00024835943421262085,{'footway': 7},"[(118.80748152, 32.01747624), (118.8075015, 32.01746625)]"
52,9,8,4.472136514164773e-05,0.0009735926073951025,{'footway': 8},"[(118.7584569, 32.05135638), (118.75847688, 32.05139639)]"
53,10,9,0.00011210950540153854,0.0013455996895953694,{'footway': 9},"[(118.82986002, 32.0565123), (118.82997036, 32.05649246)]"
54,13,12,0.00025379771807217,0.001965212947818945,{'footway': 12},"[(118.828818, 32.05658043), (118.82856744, 32.05654002)]"
55,12,14,0.0005468254291874885,0.004478348987620883,{'footway': 14},"[(118.84404024, 32.0398938), (118.84458132, 32.03981474)]"
56,10,9,0.00036358990429070486,0.0013112499263232497,{'footway': 9},"[(118.8135387, 32.04452106), (118.81348866, 32.04416093)]"
57,17,17,0.0006000054037281573,0.004091661370563785,{'footway': 17},"[(118.83523122, 32.05272101), (118.83556188, 32.05322168)]"
58,8,7,0.00018019719448951368,0.0014164448552414798,{'footway': 7},"[(118.8431577, 32.04769397), (118.84305762, 32.04784382)]"
59,13,12,5.829756513336516e-05,0.0012594444413607164,{'footway': 12},"[(118.82969064, 32.04621972), (118.8297207, 32.04616977)]"
60,17,17,4.475715473974669e-05,0.006765860948218584,"{'secondary': 8, 'footway': 8, 'tertiary': 1}","[(118.66042152, 32.04612162), (118.6604415, 32.04608157)]"
61,9,8,9.018017964136893e-05,0.0016733225524409806,{'footway': 8},"[(118.85685948, 32.09716854), (118.85694966, 32.09716872)]"
62,8,7,8.086568864292952e-05,0.0009899996549121693,{'footway': 7},"[(118.833786, 32.07031196), (118.8338562, 32.0703521)]"
63,11,10,7.208052233702529e-05,0.0009212172890926777,{'footway': 10},"[(118.78015428, 32.02340463), (118.78011432, 32.02346462)]"
64,10,9,3.6061070414472524e-05,0.0011751012504486926,{'footway': 9},"[(118.77161562, 32.01447411), (118.7716356, 32.01450413)]"
65,15,14,0.0003400599999991982,0.00431696329293674,"{'tertiary': 13, 'footway': 1}","[(118.84660632, 32.03136648), (118.84660632, 32.03102642)]"
66,10,9,0.00018127450041449273,0.0018110752604776712,{'footway': 9},"[(118.749411, 32.05309154), (118.74923082, 32.05311143)]"
67,15,14,0.00016537063463247252,0.0031271842838450923,"{'footway': 10, 'secondary': 4}","[(118.85098392, 32.04387698), (118.8511443, 32.0439173)]"
68,8,7,0.00035094484181410937,0.0033044464992924433,{'footway': 7},"[(118.8255609, 32.06116566), (118.82591172, 32.0611563)]"
69,8,7,3.1660814897614386e-05,0.0004601460682186764,{'footway': 7},"[(118.83762594, 32.05405553), (118.83759588, 32.05406547)]"
70,11,10,5.1017694960077613e-05,0.000775007135134397,{'footway': 10},"[(118.82895822, 32.05686078), (118.82900826, 32.05685084)]"
71,14,13,0.0005937521278250609,0.0046584586642129545,"{'footway': 11, 'secondary': 2}","[(118.79108568, 31.97157926), (118.7907651, 31.97207903)]"
